date,temperature_2m_max,temperature_2m_min,relative_humidity_2m_max,wind_speed_10m_max,rolling_max_temp_3d,risk_label
2021-08-12,28.1,25.4,94,16.7,27.96666666666667,Low
2021-08-13,27.9,25.6,92,18.4,28.0,Low
2021-08-14,27.1,24.8,94,19.1,27.700000000000003,Low
2021-08-15,27.2,24.4,94,14.6,27.399999999999995,Low
2021-08-16,27.6,25.0,94,12.4,27.3,Low
2021-08-17,26.6,25.3,94,9.8,27.133333333333336,Low
2021-08-18,26.3,25.2,95,12.0,26.833333333333332,Low
2021-08-19,25.7,24.9,95,16.2,26.2,Low
2021-08-20,27.1,25.1,94,15.6,26.366666666666664,Low
2021-08-21,25.8,24.7,95,22.0,26.200000000000003,Low
2021-08-22,27.4,25.1,95,13.6,26.766666666666666,Low
2021-08-23,28.5,24.8,95,14.8,27.233333333333334,Low
2021-08-24,28.4,25.3,96,14.9,28.099999999999998,Low
2021-08-25,27.9,25.3,96,16.6,28.266666666666666,Low
2021-08-26,27.8,25.8,93,17.0,28.03333333333333,Low
2021-08-27,28.0,25.4,94,12.3,27.900000000000002,Low
2021-08-28,27.8,25.0,94,14.5,27.866666666666664,Low
2021-08-29,28.2,24.8,93,12.2,28.0,Low
2021-08-30,27.1,25.9,93,14.5,27.7,Low
2021-08-31,26.7,25.4,94,17.1,27.333333333333332,Low
2021-09-01,27.4,25.2,94,18.9,27.066666666666666,Low
2021-09-02,27.9,25.5,93,23.8,27.333333333333332,Low
2021-09-03,27.2,25.1,95,19.1,27.5,Low
2021-09-04,27.8,25.1,95,14.5,27.633333333333336,Low
2021-09-05,27.2,25.3,95,12.3,27.399999999999995,Low
2021-09-06,27.9,25.3,95,16.8,27.633333333333336,Low
2021-09-07,27.2,25.2,96,13.3,27.433333333333334,Low
2021-09-08,27.7,25.3,96,34.9,27.599999999999998,Low
2021-09-09,28.4,25.7,93,32.1,27.766666666666666,Low
2021-09-10,27.8,25.2,94,26.2,27.966666666666665,Low
2021-09-11,27.6,25.7,94,25.3,27.933333333333334,Low
2021-09-12,27.6,25.6,94,21.4,27.666666666666668,Low
2021-09-13,26.9,26.1,92,25.0,27.36666666666667,Low
2021-09-14,28.4,26.0,91,25.5,27.63333333333333,Low
2021-09-15,27.7,25.4,93,24.1,27.666666666666668,Low
2021-09-16,28.6,25.5,92,24.5,28.23333333333333,Low
2021-09-17,28.4,25.5,92,21.6,28.233333333333334,Low
2021-09-18,27.3,25.3,92,17.9,28.099999999999998,Low
2021-09-19,27.2,25.2,94,17.1,27.633333333333336,Low
2021-09-20,27.6,25.2,94,13.1,27.366666666666664,Low
2021-09-21,27.2,25.4,94,14.5,27.333333333333332,Low
2021-09-22,26.8,25.0,95,16.8,27.2,Low
2021-09-23,27.3,25.0,95,14.5,27.099999999999998,Low
2021-09-24,28.6,25.2,94,15.0,27.566666666666666,Low
2021-09-25,28.1,24.5,95,13.4,28.0,Low
2021-09-26,28.1,25.2,93,14.1,28.26666666666667,Low
2021-09-27,26.7,25.0,94,9.6,27.633333333333336,Low
2021-09-28,26.5,24.6,95,17.6,27.100000000000005,Low
2021-09-29,27.8,25.2,95,24.9,27.0,Low
