date,city,temperature_2m_max,temperature_2m_min,relative_humidity_2m_max,wind_speed_10m_max
2021-08-10,Mumbai,27.8,25.5,93,17.4
2021-08-11,Mumbai,28.0,25.1,93,16.7
2021-08-12,Mumbai,28.1,25.4,94,16.7
2021-08-13,Mumbai,27.9,25.6,92,18.4
2021-08-14,Mumbai,27.1,24.8,94,19.1
2021-08-15,Mumbai,27.2,24.4,94,14.6
2021-08-16,Mumbai,27.6,25.0,94,12.4
2021-08-17,Mumbai,26.6,25.3,94,9.8
2021-08-18,Mumbai,26.3,25.2,95,12.0
2021-08-19,Mumbai,25.7,24.9,95,16.2
2021-08-20,Mumbai,27.1,25.1,94,15.6
2021-08-21,Mumbai,25.8,24.7,95,22.0
2021-08-22,Mumbai,27.4,25.1,95,13.6
2021-08-23,Mumbai,28.5,24.8,95,14.8
2021-08-24,Mumbai,28.4,25.3,96,14.9
2021-08-25,Mumbai,27.9,25.3,96,16.6
2021-08-26,Mumbai,27.8,25.8,93,17.0
2021-08-27,Mumbai,28.0,25.4,94,12.3
2021-08-28,Mumbai,27.8,25.0,94,14.5
2021-08-29,Mumbai,28.2,24.8,93,12.2
2021-08-30,Mumbai,27.1,25.9,93,14.5
2021-08-31,Mumbai,26.7,25.4,94,17.1
2021-09-01,Mumbai,27.4,25.2,94,18.9
2021-09-02,Mumbai,27.9,25.5,93,23.8
2021-09-03,Mumbai,27.2,25.1,95,19.1
2021-09-04,Mumbai,27.8,25.1,95,14.5
2021-09-05,Mumbai,27.2,25.3,95,12.3
2021-09-06,Mumbai,27.9,25.3,95,16.8
2021-09-07,Mumbai,27.2,25.2,96,13.3
2021-09-08,Mumbai,27.7,25.3,96,34.9
2021-09-09,Mumbai,28.4,25.7,93,32.1
2021-09-10,Mumbai,27.8,25.2,94,26.2
2021-09-11,Mumbai,27.6,25.7,94,25.3
2021-09-12,Mumbai,27.6,25.6,94,21.4
2021-09-13,Mumbai,26.9,26.1,92,25.0
2021-09-14,Mumbai,28.4,26.0,91,25.5
2021-09-15,Mumbai,27.7,25.4,93,24.1
2021-09-16,Mumbai,28.6,25.5,92,24.5
2021-09-17,Mumbai,28.4,25.5,92,21.6
2021-09-18,Mumbai,27.3,25.3,92,17.9
2021-09-19,Mumbai,27.2,25.2,94,17.1
2021-09-20,Mumbai,27.6,25.2,94,13.1
2021-09-21,Mumbai,27.2,25.4,94,14.5
2021-09-22,Mumbai,26.8,25.0,95,16.8
2021-09-23,Mumbai,27.3,25.0,95,14.5
2021-09-24,Mumbai,28.6,25.2,94,15.0
2021-09-25,Mumbai,28.1,24.5,95,13.4
2021-09-26,Mumbai,28.1,25.2,93,14.1
2021-09-27,Mumbai,26.7,25.0,94,9.6
2021-09-28,Mumbai,26.5,24.6,95,17.6
2021-09-29,Mumbai,27.8,25.2,95,24.9
2021-09-30,Mumbai,27.8,25.0,95,23.1
2021-10-01,Mumbai,29.0,25.2,97,15.1
2021-10-02,Mumbai,28.7,24.9,98,16.4
2021-10-03,Mumbai,30.4,25.1,96,17.8
2021-10-04,Mumbai,30.6,26.2,97,16.5
2021-10-05,Mumbai,30.8,26.1,98,17.7
2021-10-06,Mumbai,31.3,26.4,97,12.5
2021-10-07,Mumbai,31.9,26.0,98,12.1
2021-10-08,Mumbai,29.2,25.3,95,15.3
2021-10-09,Mumbai,28.5,25.9,97,13.3
2021-10-10,Mumbai,29.2,25.9,96,10.1
2021-10-11,Mumbai,29.2,25.1,96,15.3
2021-10-12,Mumbai,30.1,25.2,97,12.7
2021-10-13,Mumbai,30.9,25.1,95,12.8
2021-10-14,Mumbai,31.9,25.5,96,18.7
2021-10-15,Mumbai,32.9,24.6,83,18.6
2021-10-16,Mumbai,31.5,24.1,81,20.0
2021-10-17,Mumbai,30.5,24.5,81,17.4
2021-10-18,Mumbai,30.1,25.3,91,19.9
2021-10-19,Mumbai,29.2,24.7,91,13.8
2021-10-20,Mumbai,29.7,23.6,99,18.6
2021-10-21,Mumbai,31.2,22.9,96,18.1
2021-10-22,Mumbai,32.1,22.3,91,15.0
2021-10-23,Mumbai,31.0,23.2,92,18.1
2021-10-24,Mumbai,29.5,22.9,95,17.2
2021-10-25,Mumbai,30.3,22.8,96,20.2
2021-10-26,Mumbai,32.0,22.9,92,16.3
2021-10-27,Mumbai,33.1,23.0,88,20.2
2021-10-28,Mumbai,33.6,23.4,73,21.6
2021-10-29,Mumbai,33.3,23.9,63,21.2
2021-10-30,Mumbai,33.1,24.0,66,19.6
2021-10-31,Mumbai,32.5,24.1,71,18.1
2021-11-01,Mumbai,32.1,22.5,79,14.3
2021-11-02,Mumbai,33.2,23.3,80,14.2
2021-11-03,Mumbai,33.7,23.7,79,21.1
2021-11-04,Mumbai,32.4,24.8,71,15.8
2021-11-05,Mumbai,32.3,24.3,92,17.1
2021-11-06,Mumbai,31.3,23.8,93,15.3
2021-11-07,Mumbai,29.2,24.1,90,13.0
2021-11-08,Mumbai,31.7,23.6,93,16.8
2021-11-09,Mumbai,32.4,21.5,90,18.3
2021-11-10,Mumbai,32.2,21.6,74,20.9
2021-11-11,Mumbai,32.6,21.3,70,18.7
2021-11-12,Mumbai,32.0,21.7,61,22.6
2021-11-13,Mumbai,32.7,23.4,74,19.8
2021-11-14,Mumbai,32.5,23.9,76,18.1
2021-11-15,Mumbai,32.5,24.6,76,21.9
2021-11-16,Mumbai,33.5,24.6,78,19.2
2021-11-17,Mumbai,32.2,24.5,95,16.9
2021-11-18,Mumbai,30.1,23.8,97,13.4
2021-11-19,Mumbai,31.4,23.6,98,15.4
2021-11-20,Mumbai,32.5,24.5,96,12.2
2021-11-21,Mumbai,32.8,25.3,93,16.7
2021-11-22,Mumbai,28.7,24.9,97,10.2
2021-11-23,Mumbai,30.5,24.7,97,17.3
2021-11-24,Mumbai,31.7,25.5,95,16.6
2021-11-25,Mumbai,32.6,24.6,90,16.7
2021-11-26,Mumbai,32.5,23.1,89,15.0
2021-11-27,Mumbai,32.6,22.2,91,16.3
2021-11-28,Mumbai,32.2,21.7,89,16.1
2021-11-29,Mumbai,32.5,21.4,70,15.1
2021-11-30,Mumbai,32.5,23.8,74,15.0
2021-12-01,Mumbai,24.7,20.7,91,20.3
2021-12-02,Mumbai,24.8,19.3,94,26.9
2021-12-03,Mumbai,27.0,22.0,97,10.4
2021-12-04,Mumbai,27.6,21.4,97,11.3
2021-12-05,Mumbai,26.7,20.9,98,11.8
2021-12-06,Mumbai,29.0,21.0,97,16.3
2021-12-07,Mumbai,30.1,22.0,83,15.5
2021-12-08,Mumbai,31.0,22.1,80,16.2
2021-12-09,Mumbai,29.9,22.7,79,16.3
2021-12-10,Mumbai,31.2,22.2,78,15.8
2021-12-11,Mumbai,31.0,22.2,81,14.6
2021-12-12,Mumbai,31.6,21.0,89,13.5
2021-12-13,Mumbai,29.3,20.7,85,15.7
2021-12-14,Mumbai,28.5,19.3,88,17.1
2021-12-15,Mumbai,27.3,19.1,93,14.3
2021-12-16,Mumbai,28.2,19.6,95,16.7
2021-12-17,Mumbai,28.0,20.3,86,17.0
2021-12-18,Mumbai,29.4,18.9,92,15.9
2021-12-19,Mumbai,29.8,19.7,82,17.0
2021-12-20,Mumbai,29.9,18.6,90,14.7
2021-12-21,Mumbai,28.6,17.8,91,13.0
2021-12-22,Mumbai,28.1,17.9,96,12.5
2021-12-23,Mumbai,28.0,18.2,95,12.9
